lon,lat,locode
140.386002,35.764702,
-77.083503,26.5114,
101.4449996948242,0.460786014795303,
-79.25,25.76700019836425,BS BIM
28.39559936523437,57.78390121459961,RU PKV
116.41092,39.509945,CN LFZ
19.898199,60.1222,
11.55329990386963,3.722559928894043,
71.51460266113281,33.99390029907227,
105.7809982299805,15.13210010528564,
-80.29060363769531,25.79319953918457,
104.698147,-2.897653,
-89.657699585,20.9370002747,MX MID
129.914001465,32.91690063479999,JP OMJ
14.9224,37.401699,IT ENT
21.09390068054199,55.97320175170898,LT PLQ
10.75469970703125,35.75809860229492,
-119.121002197,34.120300293,
-72.268321,21.773697,
-1.61073005199,47.15319824220001,FR BOI
120.975998,32.070801,
151.8339996337891,-32.79499816894531,AU WLM
34.39720153808594,49.56859970092773,
13.27600002288818,32.89410018920898,LY TIP
80.234398,50.351295,
23.5690002441,-6.121240139010001,
46.351233,-15.666842,
26.5983009338,39.0567016602,
25.6173,-33.984901,
-0.812389,37.775002,ES SJR
11.078056,49.498699,DE RGM
39.811401,-5.25726,
-94.5927963256836,39.12319946289063,US MKC
-87.89659881591797,42.94720077514648,US MKE
10.2964,44.824501,IT PMF
31.307501,-26.528999,
2.73881,39.551701,ES PMI
32.93270111083984,-2.4444899559021,
13.091,38.175999,IT ISI
102.252778,2.265613,
76.52030181884766,66.06939697265625,RU NUX
14.4775,35.857498,
-80.645302,28.1028,US MLB
73.52909851074219,4.191830158233643,
-63.96659851074219,10.9126033782959,
65.170799,40.117199,
7.532864,47.599323,FR STL
116.5849990844727,40.0801010131836,
-101.025002,19.849899,
-48.650979,-26.879431,BR NVT
43.766399,-12.2981,
1.28278,52.6758,GB NRW
-1.64633,42.77,ES GAL
38.0909996033,38.4352989197,
72.69889831542969,65.48090362548828,
131.263,25.8465,JP MMD
16.912201,58.788601,SE NYO
-1.42941,54.509201,
137.923004,36.166801,JP MMJ
32.75080108642578,68.78170013427734,
104.844002,11.5466,
96.200996,19.623501,
158.2089996337891,6.985099792480469,
109.4039993286133,-0.150710999965668,
13.376198,55.536305,SE SEA
117.33,49.566667,CN MLX
125.294998169,24.7828006744,JP MMY
73.919701,18.5821,IN PNQ
-62.19329833984375,16.79140090942383,
69.264999,34.946098,
11.8866,-4.81603,
121.019997,14.5086,
-122.221001,37.721298,US OAK
-72.529078,-51.67067,CL PNT
-40.569098,-9.362422,BR PNZ
-96.726600647,16.9999008179,
-51.166592,-29.994712,BR POA
-64.32852,18.727734,
64.223175,31.848735,
-79.014503479004,35.1708984375,
8.754380226135254,-0.711739003658295,
143.216995239,42.7332992554,JP OBO
99.25679779052734,20.51679992675781,MM MOG
7.2625,62.744701,NO MOL
40.52401351928711,-12.99176216125488,
147.2200012207031,-9.44338035583496,
-76.969754,18.404079,
-70.56999969482422,19.75790023803711,
10.33090019226074,55.47669982910156,
21.799999,61.4617,FI POR
-61.3372,10.5954,
